customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,churned,tenure_group
7590-VHVEG,Female,0,True,False,1,False,No,DSL,False,True,False,False,False,False,Month-to-month,True,Electronic check,29.85,29.85,No,0,0-12
5575-GNVDE,Male,0,False,False,34,True,False,DSL,True,False,True,False,False,False,One year,False,Mailed check,56.95,1889.5,No,0,25-36
3668-QPYBK,Male,0,False,False,2,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Mailed check,53.85,108.15,Yes,1,0-12
7795-CFOCW,Male,0,False,False,45,False,No,DSL,True,False,True,True,False,False,One year,False,Bank transfer (automatic),42.3,1840.75,No,0,37-48
9237-HQITU,Female,0,False,False,2,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,70.7,151.65,Yes,1,0-12
9305-CDSKC,Female,0,False,False,8,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,99.65,820.5,Yes,1,0-12
1452-KIOVK,Male,0,False,True,22,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Credit card (automatic),89.1,1949.4,No,0,13-24
6713-OKOMC,Female,0,False,False,10,False,No,DSL,True,False,False,False,False,False,Month-to-month,False,Mailed check,29.75,301.9,No,0,0-12
7892-POOKP,Female,0,True,False,28,True,True,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,104.8,3046.05,Yes,1,25-36
6388-TABGU,Male,0,False,True,62,True,False,DSL,True,True,False,False,False,False,One year,False,Bank transfer (automatic),56.15,3487.95,No,0,61-72
9763-GRSKD,Male,0,True,True,13,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Mailed check,49.95,587.45,No,0,13-24
7469-LKBCI,Male,0,False,False,16,True,False,No,No,No,No,No,No,No,Two year,False,Credit card (automatic),18.95,326.8,No,0,13-24
8091-TTVAX,Male,0,True,False,58,True,True,Fiber optic,False,False,True,False,True,True,One year,False,Credit card (automatic),100.35,5681.1,No,0,49-60
0280-XJGEX,Male,0,False,False,49,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),103.7,5036.3,Yes,1,49-60
5129-JLPIS,Male,0,False,False,25,True,False,Fiber optic,True,False,True,True,True,True,Month-to-month,True,Electronic check,105.5,2686.05,No,0,25-36
3655-SNQYZ,Female,0,True,True,69,True,True,Fiber optic,True,True,True,True,True,True,Two year,False,Credit card (automatic),113.25,7895.15,No,0,61-72
8191-XWSZG,Female,0,False,False,52,True,False,No,No,No,No,No,No,No,One year,False,Mailed check,20.65,1022.95,No,0,49-60
9959-WOFKT,Male,0,False,True,71,True,True,Fiber optic,True,False,True,False,True,True,Two year,False,Bank transfer (automatic),106.7,7382.25,No,0,61-72
4190-MFLUW,Female,0,True,True,10,True,False,DSL,False,False,True,True,False,False,Month-to-month,False,Credit card (automatic),55.2,528.35,Yes,1,0-12
4183-MYFRB,Female,0,False,False,21,True,False,Fiber optic,False,True,True,False,False,True,Month-to-month,True,Electronic check,90.05,1862.9,No,0,13-24
8779-QRDMV,Male,1,False,False,1,False,No,DSL,False,False,True,False,False,True,Month-to-month,True,Electronic check,39.65,39.65,Yes,1,0-12
1680-VDCWW,Male,0,True,False,12,True,False,No,No,No,No,No,No,No,One year,False,Bank transfer (automatic),19.8,202.25,No,0,0-12
1066-JKSGK,Male,0,False,False,1,True,False,No,No,No,No,No,No,No,Month-to-month,False,Mailed check,20.15,20.15,Yes,1,0-12
3638-WEABW,Female,0,True,False,58,True,True,DSL,False,True,False,True,False,False,Two year,True,Credit card (automatic),59.9,3505.1,No,0,49-60
6322-HRPFA,Male,0,True,True,49,True,False,DSL,True,True,False,True,False,False,Month-to-month,False,Credit card (automatic),59.6,2970.3,No,0,49-60
6865-JZNKO,Female,0,False,False,30,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Bank transfer (automatic),55.3,1530.6,No,0,25-36
6467-CHFZW,Male,0,True,True,47,True,True,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Electronic check,99.35,4749.15,Yes,1,37-48
8665-UTDHZ,Male,0,True,True,1,False,No,DSL,False,True,False,False,False,False,Month-to-month,False,Electronic check,30.2,30.2,Yes,1,0-12
5248-YGIJN,Male,0,True,False,72,True,True,DSL,True,True,True,True,True,True,Two year,True,Credit card (automatic),90.25,6369.45,No,0,61-72
8773-HHUOZ,Female,0,False,True,17,True,False,DSL,False,False,False,False,True,True,Month-to-month,True,Mailed check,64.7,1093.1,Yes,1,13-24
