gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,0,0,70,1,True,Fiber optic,False,True,True,True,False,False,One year,1,Bank transfer (automatic),90.25,6385.9501953125,0
Female,0,1,0,72,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),110.15,7881.2,0
Male,0,1,0,61,1,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),80.9,4932.5,0
Female,1,1,0,39,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.25,3949.15,0
Female,0,1,1,23,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.399999618530277,478.75,0
Male,0,1,1,60,1,True,Fiber optic,False,True,False,True,True,True,Month-to-month,1,Bank transfer (automatic),103.75,5969.9501953125,0
Female,0,0,0,38,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.299999237060547,755.5,0
Male,0,0,0,57,1,Yes,Fiber optic,No,No,No,No,Yes,No,One year,1,Electronic check,86.9,4939.25,0
Male,0,0,0,1,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,54.3,54.3,0
Female,0,1,1,68,0,No,DSL,False,True,True,True,True,True,Two year,0,Credit card (automatic),60.29999923706055,4109.0,0
Male,1,0,0,49,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,0,Credit card (automatic),81.35,4060.9,0
Male,0,0,0,35,1,True,Fiber optic,False,False,False,False,False,False,Month-to-month,0,Credit card (automatic),75.3499984741211,2636.050048828125,1
Female,0,0,0,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.4,61.05,0
Male,0,0,1,32,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.5,696.7999877929688,0
Male,0,1,1,1,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,90.1,90.1,0
Male,0,1,1,58,0,No,DSL,True,True,True,False,True,False,One year,0,Mailed check,50.0,2919.85009765625,0
Female,0,1,1,36,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),97.35,3457.9,1
Female,0,1,1,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),115.15,8250.0,0
Female,0,1,1,61,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.75,1311.6,0
Female,0,1,1,29,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.2,558.8,0
Male,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.65,69.65,1
Female,0,1,1,66,1,True,DSL,True,True,True,False,False,False,Month-to-month,1,Bank transfer (automatic),67.44999694824219,4508.64990234375,0
Female,0,1,0,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.5,146.3,1
Male,0,0,0,4,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.700000762939453,73.05000305175781,0
Male,0,1,0,4,0,No,DSL,False,True,False,False,True,True,Month-to-month,1,Electronic check,48.54999923706055,201.0,1
Female,0,1,1,45,1,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.649999618530277,1138.800048828125,0
Male,0,0,1,39,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),25.45,958.45,0
Male,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,80.5,80.5,1
Male,1,1,0,61,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,1,Bank transfer (automatic),85.55,5251.75,0
Male,1,1,0,72,1,True,DSL,True,True,True,False,True,True,Two year,1,Credit card (automatic),84.0999984741211,5981.64990234375,0
Male,0,0,1,6,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.549999237060547,128.60000610351562,0
Male,0,1,1,23,1,False,Fiber optic,False,True,True,True,False,False,One year,0,Mailed check,86.80000305175781,1940.800048828125,0
Female,1,1,0,42,1,True,Fiber optic,False,False,False,False,True,True,Month-to-month,1,Electronic check,95.0500030517578,3944.5,0
Female,0,1,0,60,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),110.8,6640.7,0
Female,0,0,0,5,1,True,Fiber optic,False,False,False,False,True,False,Month-to-month,1,Electronic check,84.0,424.75,0
Male,0,0,0,19,1,False,DSL,False,True,False,True,False,True,One year,1,Bank transfer (automatic),65.3499984741211,1231.8499755859375,0
Male,0,0,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.6,471.85,0
Male,0,0,0,2,1,False,DSL,False,False,False,False,False,False,Month-to-month,0,Electronic check,44.34999847412109,81.25,1
Female,0,0,0,53,1,True,Fiber optic,True,True,True,False,False,False,Month-to-month,0,Electronic check,90.8000030517578,4921.2001953125,0
Male,0,1,1,63,1,False,Fiber optic,False,True,True,False,False,False,Month-to-month,1,Credit card (automatic),80.30000305175781,4896.35009765625,0
Male,0,0,0,7,1,False,Fiber optic,False,False,True,False,False,False,Month-to-month,1,Electronic check,74.9000015258789,490.5499877929688,0
Male,0,1,1,38,1,True,Fiber optic,False,False,True,False,True,True,Month-to-month,1,Credit card (automatic),101.1500015258789,3956.699951171875,0
Male,0,1,1,23,1,False,Fiber optic,True,False,False,True,True,True,Month-to-month,1,Electronic check,99.8499984741211,2331.300048828125,1
Male,0,0,0,2,1,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,1,Mailed check,55.1,113.35,1
Female,0,1,1,3,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Credit card (automatic),29.7,91.7,1
Female,0,0,1,24,1,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),21.049999237060547,531.5499877929688,0
Male,0,1,1,18,1,False,Fiber optic,True,False,True,False,True,False,Month-to-month,1,Mailed check,87.9000015258789,1500.5,0
Male,0,0,0,33,1,True,DSL,False,True,False,False,False,False,Month-to-month,1,Bank transfer (automatic),54.650001525878906,1665.199951171875,0
Male,0,1,0,67,1,True,DSL,True,True,True,True,False,False,Two year,0,Credit card (automatic),70.9000015258789,4677.10009765625,0
Female,1,1,0,38,1,True,Fiber optic,True,True,False,False,False,True,One year,0,Credit card (automatic),95.0,3591.25,0
